link,kynangchitiet
https://jobs.xomdata.com/jobs/685171,R
https://jobs.xomdata.com/jobs/685171,Git
https://jobs.xomdata.com/jobs/685168,Python
https://jobs.xomdata.com/jobs/685168,Power BI
https://jobs.xomdata.com/jobs/685168,Tableau
https://jobs.xomdata.com/jobs/685168,Spark
https://jobs.xomdata.com/jobs/685168,ETL
https://jobs.xomdata.com/jobs/685168,Machine Learning
https://jobs.xomdata.com/jobs/685168,R
https://jobs.xomdata.com/jobs/685167,Power BI
https://jobs.xomdata.com/jobs/685167,Excel
https://jobs.xomdata.com/jobs/685167,Machine Learning
https://jobs.xomdata.com/jobs/685167,R
https://jobs.xomdata.com/jobs/685165,Python
https://jobs.xomdata.com/jobs/685165,SQL
https://jobs.xomdata.com/jobs/685165,Power BI
https://jobs.xomdata.com/jobs/685165,Pandas
https://jobs.xomdata.com/jobs/685165,Spark
https://jobs.xomdata.com/jobs/685165,AWS
https://jobs.xomdata.com/jobs/685165,Azure
https://jobs.xomdata.com/jobs/685165,ETL
https://jobs.xomdata.com/jobs/685165,Machine Learning
https://jobs.xomdata.com/jobs/685165,R
https://jobs.xomdata.com/jobs/685161,Python
https://jobs.xomdata.com/jobs/685161,Power BI
https://jobs.xomdata.com/jobs/685161,Tableau
https://jobs.xomdata.com/jobs/685161,Spark
https://jobs.xomdata.com/jobs/685161,ETL
https://jobs.xomdata.com/jobs/685161,Machine Learning
https://jobs.xomdata.com/jobs/685161,R
https://jobs.xomdata.com/jobs/685160,Python
https://jobs.xomdata.com/jobs/685160,SQL
https://jobs.xomdata.com/jobs/685160,Machine Learning
https://jobs.xomdata.com/jobs/685160,R
https://jobs.xomdata.com/jobs/685157,ETL
https://jobs.xomdata.com/jobs/685157,Machine Learning
https://jobs.xomdata.com/jobs/685157,R
https://jobs.xomdata.com/jobs/685156,Machine Learning
https://jobs.xomdata.com/jobs/685156,R
https://jobs.xomdata.com/jobs/685154,Python
https://jobs.xomdata.com/jobs/685154,Excel
https://jobs.xomdata.com/jobs/685154,Machine Learning
https://jobs.xomdata.com/jobs/685154,R
https://jobs.xomdata.com/jobs/685154,Git
https://jobs.xomdata.com/jobs/685153,Python
https://jobs.xomdata.com/jobs/685153,SQL
https://jobs.xomdata.com/jobs/685153,ETL
https://jobs.xomdata.com/jobs/685153,Machine Learning
https://jobs.xomdata.com/jobs/685153,R
https://jobs.xomdata.com/jobs/685151,Python
https://jobs.xomdata.com/jobs/685151,SQL
https://jobs.xomdata.com/jobs/685151,Spark
https://jobs.xomdata.com/jobs/685151,AWS
https://jobs.xomdata.com/jobs/685151,Azure
https://jobs.xomdata.com/jobs/685151,ETL
https://jobs.xomdata.com/jobs/685151,Machine Learning
https://jobs.xomdata.com/jobs/685151,R
https://jobs.xomdata.com/jobs/685150,Python
https://jobs.xomdata.com/jobs/685150,SQL
https://jobs.xomdata.com/jobs/685150,Spark
https://jobs.xomdata.com/jobs/685150,Machine Learning
https://jobs.xomdata.com/jobs/685150,R
https://jobs.xomdata.com/jobs/685149,Python
https://jobs.xomdata.com/jobs/685149,SQL
https://jobs.xomdata.com/jobs/685149,AWS
https://jobs.xomdata.com/jobs/685149,Machine Learning
https://jobs.xomdata.com/jobs/685149,R
https://jobs.xomdata.com/jobs/685147,Python
https://jobs.xomdata.com/jobs/685147,Pandas
https://jobs.xomdata.com/jobs/685147,AWS
https://jobs.xomdata.com/jobs/685147,Azure
https://jobs.xomdata.com/jobs/685147,Machine Learning
https://jobs.xomdata.com/jobs/685147,R
https://jobs.xomdata.com/jobs/685147,Git
https://jobs.xomdata.com/jobs/685146,SQL
https://jobs.xomdata.com/jobs/685146,Power BI
https://jobs.xomdata.com/jobs/685146,Machine Learning
https://jobs.xomdata.com/jobs/685146,R
https://jobs.xomdata.com/jobs/685146,Git
https://jobs.xomdata.com/jobs/685143,AWS
https://jobs.xomdata.com/jobs/685143,Azure
https://jobs.xomdata.com/jobs/685143,Machine Learning
https://jobs.xomdata.com/jobs/685143,R
